skill,backward_text,original_name
History,"> nodded accepting the parcel by ’s hands, in meantime he searched his memory to find out whether this axe had any worth beyond the iron which it was made of, or if it was mentioned in any song that was sung along the Anduin valleys. In fact it seemed weird to him that the hermit took so much care of it crazy as it was. ",Lore
Performance,"> nodded accepting the parcel by ’s hands, in meantime he searched his memory to find out whether this axe had any worth beyond the iron which it was made of, or if it was mentioned in any song that was sung along the Anduin valleys. In fact it seemed weird to him that the hermit took so much care of it crazy as it was. ",Song
Arcana,">""Aye, give me but a moment to study this piece.""Larsi would carefully inspect the piece, thinking of all he could in his ancestral crafts.  ",Craft
Medicine,">(Healing roll: to see if he can remember anything that can ease the mind of the hermit: what a surprise, he rolls an eye)All of 's memories of assisting wounded people or animals comes from his hunting days - cuts, scrapes, easing the pain of a wounded animal: nothing of use for the mental turmoil of the owner of this strange campsite.Reluctantly he turns in: he has only one fact at his disposal - chewing the bark of a willow tree can dull the sense of pain. But the Hermit has no physical injury other than malnutrition.He will sleep lightly tonight; it is still at the back of his mind that the Hermit might wake and attack them in the night. He would prefer the last watch so he will wake the others at the dawn - if it has stopped raining. ",Healing
Survival,>(OOC: Travel roll. Do we need even to test corruption? ,Travel
Performance,">Walking along the path with his companions, stood silent musing upon the weird event of the last night and the axe the hermit had given to him. Then he tried to counter the strangely warm and oppressive atmosphere and the sense of sleepiness that was creeping into him singing the song of the wolfbiter or what he could recall of it.“Back was the iron and the edge was keenWhen it was forged in the days of old when the Sun was young and leaves were greenin the battle was prized more than gold…” ",Song
Survival,>(Travel roll:)(OOC: RATS! RATS = Rolls Awful Travel Score) (So what's the penalty?) ,Travel
Roll,>travel ,Roll
Survival,>(Travel check) ,Travel
Survival,">(rolls Explore to keep in character and suggest why he wasn't paying attention to the path ahead.. or something similar). As the party move along, is gazing around him. The atmosphere is breaking his concentration on his main task of checking around the party for travelling advantages... (will roll  1 die LESS than usual) ",Expore
Deception,>OOC: corruption test. ,Corruption
Deception,">(That would be Larsi)Larsi would see the well, wary about what it was, and would see a way best around it. ",Corruption
Survival,">(That would be Larsi)Larsi would see the well, wary about what it was, and would see a way best around it. ",Travel
Wisdom,">(Corruption test) (definitely spend one hope +5 to pass this and get a great success against corruption)If can offer the Great Success as an automatic pass against Corruption for any other PC that fails their roll,  then he will) ",Wisdom
Roll,>corruption ,Roll
Roll,>corruption and uses a pt of hope to pass ,Roll
Roll,>corruption ,Roll
Search/Awareness,">“We must, no doubt. And ain’t no trouble, but it seems to me that not all of us rock as you do, or at least, that is what I guess looking the expressions of our faces. “ said to Jot and Larsi, then added:“It has been a long and wearing journey so far. Though, I can keep on walking until we are all out of these gloomy forest, but our little companions would much rather have one hour rest, wouldn’t they?After all, that place doesn’t seem worse of any other we have seen along this dark path. In fact, here we have even a well, that’s something human after all these gloomy leaves and ominous branches!” And saying so, he looked with curiosity at the old stones and at the area around them, trying to find any sign of danger or other traces of civilization. ",Search/Awareness
Riddle,">""I have to say what I am feeling. I don't like the feel of this place anymore than anyone else.. but would anyone like to guess why there might be bones down there? Where they thrown in or did they explore this well and get trapped? If anyone wants to rescue those bones to give them a decent burial, then we should tie a rope to them and be ready to haul him out again. Who's the lightest?""Will try Riddle to guess what is going on here..NO. It's an enigma to .  ",Riddle
Survival,">Still full of trepidation, will roll Explore for the area, and Awareness for any sounds or clues...(Now that's a good explore finally, what is all around the well?) will look all over the ground and leave no stone unturned. While doing this he looks around the clearing area. It's not a very detailed look, but he should notice any movement in the deeper shadows if anything emerged while he is poking around. The sense of unease he had while looking down into the well grows on him as he searches.  He begins to feel his muscles tense up, and he chooses to string his bow... ",Explore
Perception,">Still full of trepidation, will roll Explore for the area, and Awareness for any sounds or clues...(Now that's a good explore finally, what is all around the well?) will look all over the ground and leave no stone unturned. While doing this he looks around the clearing area. It's not a very detailed look, but he should notice any movement in the deeper shadows if anything emerged while he is poking around. The sense of unease he had while looking down into the well grows on him as he searches.  He begins to feel his muscles tense up, and he chooses to string his bow... ",awareness
Perception,">like it or not, we have stopped. Jot is on guard.  Uggg. Falling asleep... ",Awareness
Athletics,"> , where are you going?!?  That is not your Mother!He successfully grabs the boy in a hug ",Athletics
Battle,">Larsi, having started to move for , will stop, seeing his father holding him."" , I would stay away from there. Do not let curiousity bring an unsavory doom upon you!"" Larsi called out. He would continue to look around for whatever is watching them, slowly walking over towards the hobbits, resting his hand on 's head, softly.(Ooc: Battle check to look around at any major potential ambush spots, such as low tree branches, larger trees, etc.)But Larsi seems to focus more on his companions. ",Battle
Survival,">these lands are protected by Beorn’s folk, so there is little danger of bandits ",travel
Roll,>travel ,Roll
Roll,>travel ,Roll
Survival,>(OOC: Traval roll) ,Travel
Survival,>travel roll  (fatigue I am sure..) ,Travel
Survival,">""Aye, I miss the mountains of my home, but I am in rush to return to it. I will go where we decide.""(Travel check as asked) ",Travel
Perception,">The Wood Elf Ranger had been dwelling on the events in his past that had set him upon the path he was currently traveling.  His attention was drawn back to the present.  The woods had suddenly gone quiet, as the darkness fell in the area.  To silent, Keridan focused his senses to try and decipher what may of caused it.  As always, when in such a enviroment.  He was ready to swiftly draw back and fire the nocked arrow on his longbow's bowstring.  Which he held in place against the arrow rest, by the forefinger of his left hand, that gripped the ranged weapon.   ",Perception
Roll,">Moving stealthily forward, Using what available cover that there is.  When he gets close enough so he can take advantage of his innate Dark Vision to try and identify what may have caused the movement up in the branches.. Relying on his Mask of the Wild ability to hide his presence, when only lightly obscured by foliage,   ",Roll
Perception,">Narrowing his eyes he looks up the hill. Gripping the handles of both his short sword and dagger he tenses, ready to spring them from their sheaths. Straining his sight to the very edges of his darkvision, he searches the darkness for the cause of his unease. ",Perception
Perception,">Not wanting to be accidently taken for being a sneak-thief or the like.  Keridan puts the arrow he had readied on his longbow's string back in his quiver and slung the ranged weapon over his shoulder.  With empty hands held out before him.  He slowly walks forward into the torch lite, looking about the place.  Saying calmly in Common.  ""Hail sentry, I am a traveler who seeks entry into the Port.  May I pass within""? ",Perception
Perception,">Taking the flask back, Bree takes a moment to look around to see if anyone is paying attention to them given their conversation a minute ago. Finishing the rest of the flask off and shaking her head ""This is as far east as I have been, but most of my time has been spent in the forest.""  She thinks for a second before continuing ""I don't even know anything about this town.  I just stopped here to ""pay my fee"" for keeping my bow.""  Thinking of that brings a scowl to her face for a moment.""How about you?  What brought you here?"" ",perception
Insight on Tess,"> follows Tess with a bit of a worry in her eyes.""I'm not sure... She is a busy woman,"" she eventually shrugs it off.Speaking in low tones, she leans in forward asks:""Why are you afraid of the garrison and the chapels? Did you do something wrong? Did I do something wrong?"" ",Insight on Tess
Roll,>Tess is checking in with other patrons and glances back to everyone before slipping inside to collect things. Her brown eyes lingering on Bree and for half a second longer than others.She's hard to read and was gone quickly. ,Roll
Insight,"> watches Tess run back in, and then leans in towards Bree.""She said she was fine...""Silently, the Genasi continues on with her meal.""When would you like to go on the road again, Breanna of the Clan Ironhammer of Thuria?"" ",Insight
Perception,"> nods and exits the place, waiting patiently for Breanna to pay her dues. While she is outside, she looks around for another location or shop where locals might be more inclined to chat... ",Perception
Perception,>Bree thanks Tess for the ale and the directions while looking around. ,perception
Perception,">Smiling Bree takes and ale and again says ""Thank you for your kindness and help.""  with that she turns to leave looking for as she exits the building, all the while being mindful of her surroundings.""Oye "" ",perception
Perception,">""Aye, my friend that I do.""  As they walk away Bree looks around while lowering her voice and leaning towards .  ""Tess suggested we check out some of the shops in the alleys on our way."" Looking around again, ""I also noticed several clergy of the Three and many guards inside eating, I think Tess did not feel safe talking about it. She definitely sent us in this direction though.""""So why don't we go through the markets and see what is for sale and look for alleyways as well.""  With that Bree straightens up and looks around the market area to see if there are any alleys in the area.""Besides we probably could use a tarp or tent outside of town."" as Bree heads in the direction of the shops  ",perception
Open,"> begins to pursue into the mist, when he sees one of the...whatever they are grasping for Leofric. Cursing he turns and leaps to the Rohirrim's side. ",Open
Perception,"> shouts to Nar, I'll go! as she darts into the shroud of mist in pursuit of the undead, , , and the bloodstone... ooc: AwarenessOnce a few yards from Leofric, Nar, and the horses; immediately lost sight of her companions that had been abducted. ",Awareness
Roll,> will go into forward stance and attack her assailant with full might! She has had it with failing!She does not say anything but she screams out loud:AAAAaarrrrrghh!as Wraithsbane cuts straight through the creature.Looking around her she tries to get a grasp of the situation... ,Roll
Spear Weary ,">As the ghostly warrior lumbered towards Leofric, thrust his sword at the creature, cutting through its ancient armour.Seizing his chance, though almost too weary to move, Leofric thrust his spear at the creature.OOC: open stance, second bonus die. ",Spear (Weary)
Roll,>OOC: Protection versus Leofric (target is 14). ,Roll
Sword Weary ,">Dragged into the mist by his ghostly assailant, grips his sword tightly and slashes at the creature with all his might.OOC: GM currently has control of .  Forward stance, with -4 penalty to hit (so TN is 13), and Weary... ",Sword (Weary)
